0,23.3223,43.3124,13.7056,30.4671,37.6401,4.43688,31.1421,21.6947,5.15348,43.8536,0
23.3223,0,32.0753,37.0279,12.3329,26.5283,27.7592,54.4644,45.0169,23.7192,34.4408,23.3223
43.3124,32.0753,0,50.0106,19.7424,5.67234,39.9136,26.1363,25.0083,48.4659,2.36548,43.3124
13.7056,37.0279,50.0106,0,37.1654,44.3383,10.0971,23.8743,25.0023,16.1587,50.5518,13.7056
30.4671,12.3329,19.7424,37.1654,0,14.1954,27.0683,42.1314,32.684,35.6206,22.1079,30.4671
37.6401,26.5283,5.67234,44.3383,14.1954,0,34.2412,27.9361,19.336,42.7936,7.91248,37.6401
4.43688,27.7592,39.9136,10.0971,27.0683,34.2412,0,26.7052,17.2578,8.55233,40.4547,4.43688
31.1421,54.4644,26.1363,23.8743,42.1314,27.9361,26.7052,0,9.44742,33.5952,26.6774,31.1421
21.6947,45.0169,25.0083,25.0023,32.684,19.336,17.2578,9.44742,0,24.1478,25.5494,21.6947
5.15348,23.7192,48.4659,16.1587,35.6206,42.7936,8.55233,33.5952,24.1478,0,49.007,5.15348
43.8536,34.4408,2.36548,50.5518,22.1079,7.91248,40.4547,26.6774,25.5494,49.007,0,43.8536
0,0,0,0,0,0,0,0,0,0,0,0
