0,6.5472,2.88859,4.21364,2.99607,5.5517,6.03205,6.93245,4.44504,3.61176,5.94509,0
6.5472,0,8.18299,3.10184,3.89587,5.89076,2.08929,6.66835,2.4766,3.28769,6.31472,6.5472
2.88859,8.18299,0,5.19834,5.44572,4.66009,6.958,5.80143,5.73206,5.94843,4.8532,2.88859
4.21364,3.10184,5.19834,0,2.88946,3.21161,1.85039,4.36154,0.681459,2.73226,3.69511,4.21364
2.99607,3.89587,5.44572,2.88946,0,5.75457,4.17435,7.0615,2.61895,0.644683,6.24164,2.99607
5.5517,5.89076,4.66009,3.21161,5.75457,0,3.89575,1.39224,3.85417,5.79153,0.491029,5.5517
6.03205,2.08929,6.958,1.85039,4.17435,3.89575,0,4.58433,1.64053,3.76875,4.28895,6.03205
6.93245,6.66835,5.80143,4.36154,7.0615,1.39224,4.58433,0,4.94458,7.04337,0.99777,6.93245
4.44504,2.4766,5.73206,0.681459,2.61895,3.85417,1.64053,4.94458,0,2.32645,4.33136,4.44504
3.61176,3.28769,5.94843,2.73226,0.644683,5.79153,3.76875,7.04337,2.32645,0,6.28246,3.61176
5.94509,6.31472,4.8532,3.69511,6.24164,0.491029,4.28895,0.99777,4.33136,6.28246,0,5.94509
0,0,0,0,0,0,0,0,0,0,0,0
